2026-08-20 11:18:42 | WARNING  | grid_bot.trading | dca_manager:863 | Could not resolve fee for order ord_1787224717786_7d287d via trade history: CoinDCX rejected credentials on /exchange/v1/orders/trade_history: {"code":401,"message":"Invalid credentials","status":"error","errorCode":"BFF-AUTH-001"}
2026-08-20 11:18:42 | INFO     | grid_bot.trading | dca_manager:1263 | Buy filled grd_1787224717638_5efe2b: qty 0.00084000 @ ₹7079946.16 → avg ₹7080544.95 level 2
2026-08-20 11:18:59 | CRITICAL | grid_bot.trading | risk_manager:55 | EMERGENCY STOP triggered. All new trading actions are blocked.
2026-08-20 11:18:59 | WARNING  | grid_bot.trading | risk_manager:60 | Emergency stop cleared. Trading actions re-enabled.
2026-08-20 11:19:11 | INFO     | grid_bot.trading | dca_manager:357 | Grid grd_1787224717638_5efe2b stopped (reason: manual_dashboard)
2026-08-20 11:19:11 | CRITICAL | grid_bot.trading | risk_manager:55 | EMERGENCY STOP triggered. All new trading actions are blocked.
2026-08-20 11:19:11 | WARNING  | grid_bot.trading | risk_manager:60 | Emergency stop cleared. Trading actions re-enabled.
2026-08-20 11:19:11 | INFO     | grid_bot.trading | dca_manager:264 | Created DCA grid grd_1787224751627_64bf1b for BTCINR (entry ₹5000000.00)
2026-08-20 11:19:11 | INFO     | grid_bot.trading | order_manager:97 | order.pending  order=ord_1787224751640_6e22ca grid=grd_1787224751627_64bf1b symbol=BTCINR side=buy qty=0.00120000 price=5000000.0000 mode=paper
2026-08-20 11:19:11 | INFO     | grid_bot.trading | order_manager:179 | order.open         order=ord_1787224751640_6e22ca grid=grd_1787224751627_64bf1b symbol=BTCINR side=buy exchange_id=PAPER_000003 qty=0.00120000 filled=0.00000000 mode=paper
2026-08-20 11:19:11 | CRITICAL | grid_bot.trading | risk_manager:55 | EMERGENCY STOP triggered. All new trading actions are blocked.
2026-08-20 11:19:11 | WARNING  | grid_bot.trading | risk_manager:60 | Emergency stop cleared. Trading actions re-enabled.
2026-08-20 11:19:11 | INFO     | grid_bot.trading | order_manager:97 | order.pending  order=ord_1787224751808_283d26 grid=grd_1787224751627_64bf1b symbol=BTCINR side=buy qty=0.00084000 price=7086005.4000 mode=paper
2026-08-20 11:19:11 | INFO     | grid_bot.trading | order_manager:179 | order.open         order=ord_1787224751808_283d26 grid=grd_1787224751627_64bf1b symbol=BTCINR side=buy exchange_id=PAPER_000004 qty=0.00084000 filled=0.00000000 mode=paper
2026-08-20 11:19:11 | INFO     | grid_bot.trading | dca_manager:421 | Manual buy placed: grid=grd_1787224751627_64bf1b order=ord_1787224751808_283d26 qty=0.00084000 @ ₹7086005.40 mode=paper
2026-08-20 11:19:14 | INFO     | grid_bot.trading | order_manager:329 | order.filled       order=ord_1787224751640_6e22ca grid=grd_1787224751627_64bf1b symbol=BTCINR side=buy exchange_id=PAPER_000003 filled=0.00120000 (was open)
2026-08-20 11:19:14 | INFO     | grid_bot.trading | order_monitor:163 | order.filled   order=ord_1787224751640_6e22ca grid=grd_1787224751627_64bf1b symbol=BTCINR side=buy exchange_id=PAPER_000003 qty=0.00120000 @ ₹7086043.18
